from,to,kat1a_rsd,kat1_rsd,kat2_rsd,kat3_rsd,kat4_rsd,kat1a_eur,kat1_eur,kat2_eur,kat3_eur,kat4_eur
"Subotica","Žednik",60,110,170,340,680,1,1,1.5,3,6
"Subotica","Bačka Topola",90,180,270,540,1080,1,2,2.5,5,9.5
"Subotica","Feketić",150,290,440,880,1760,1.5,2.5,4,8,15.5
"Subotica","Vrbas",170,350,520,1040,2090,1.5,3,4.5,9,18
"Subotica","Zmajevo",210,420,630,1250,2510,2,4,5.5,11,21.5
"Subotica","Novi Sad",250,510,760,1520,3050,2.5,4.5,6.5,13,26.5
"Subotica","Kovilj",310,610,920,1840,3680,3,5.5,8,16,31.5
"Subotica","Beška",350,700,1050,2100,4210,3,6,9,18,36
"Subotica","Inđija",380,750,1130,2260,4510,3.5,6.5,10,19.5,39
"Subotica","Beograd",420,850,1270,2540,5090,4,7.5,11,22,43.5
"Subotica","Mali Požarevac",470,950,1420,2840,5700,4.5,8.5,12.5,25,49
"Subotica","Umčari",490,990,1470,2950,5910,5,9,13,26,51
"Subotica","Vodanj",500,1020,1520,3050,6100,5,9,13.5,26.5,52.5
"Subotica","Kolari",520,1050,1570,3150,6310,5,9.5,14,27.5,54
"Subotica","Smederevo",540,1080,1620,3240,6490,5.5,9.5,14,28,55.5
"Subotica","Požarevac",540,1090,1630,3270,6540,5.5,10,14.5,28.5,56
"Subotica","Velika Plana",620,1250,1870,3740,7490,6,11,16.5,32.5,64.5
"Subotica","Markovac",650,1310,1960,3930,7870,6,11.5,17,34,67.5
"Subotica","Lapovo",670,1350,2020,4030,8080,6.5,12,17.5,35,69.5
"Subotica","Batočina",680,1370,2050,4100,8200,6.5,12,18,35.5,70.5
"Subotica","Jagodina",740,1490,2230,4450,8920,7,13,19.5,38.5,76.5
"Subotica","Ćuprija",770,1560,2330,4670,9350,7,14,20.5,40.5,80
"Subotica","Paraćin",800,1620,2420,4840,9700,7.5,14.5,21,42,83
"Subotica","Ćićevac",850,1710,2560,5110,10230,8,15,22.5,44,87.5
"Subotica","Ražanj",870,1750,2630,5250,10510,8,15.5,23,45.5,90
"Subotica","Aleksinački Rudnici",930,1870,2800,5600,11200,8.5,16.5,24.5,48.5,96
"Subotica","Aleksinac",940,1900,2840,5680,11360,8.5,16.5,24.5,49,97.5
"Subotica","Niš jug",1010,2030,3040,6080,12170,9.5,18,26.5,52.5,104
"Subotica","Doljevac",1050,2120,3170,6350,12710,10,19,28,55,109
"Subotica","Brestovac",1070,2150,3220,6450,12900,10.5,19.5,28.5,56,110.5
"Subotica","Leskovac centar",1090,2190,3280,6570,13140,10.5,19.5,29,57,112.5
"Subotica","Leskovac jug",1130,2280,3410,6830,13670,11,20.5,30,59,117
"Subotica","Grdelica",1170,2340,3510,7010,14040,11,21,31,60.5,120
"Subotica","Predejane",1210,2430,3640,7280,14570,11.5,21.5,32,63,125
"Subotica","Vladičin Han",1280,2570,3850,7700,15410,12,23,33.5,66.5,132
"Subotica","Vranje",1340,2700,4040,8080,16180,12.5,24,35.5,70,138.5
