id,name,lat,lng,road,city,country
54,"NS Adaševci",45.0501133,19.209708,"Auto-put A3",,"Srbija"
29,"NS Aleksinac",43.5261508,21.7219636,"Auto-put A1","Aleksinac","Srbija"
28,"NS Aleksinački Rudnici",43.5515203,21.6885855,"Auto-put A1","Aleksinački Rudnici","Srbija"
3,"NS Bačka Topola",45.8232203,19.6849777,"Auto-put A1","Bačka Topola","Srbija"
23,"NS Batočina",44.1503107,21.1123471,"Auto-put A1","Kragujevac","Srbija"
60,"NS Bela Palanka",43.2337276,22.3165,"Auto-put A4",,"Srbija"
13,"NS Beograd",44.6643328,20.6121724,"Auto-put A1","Vrčin","Srbija"
10,"NS Beška",45.1351689,20.0903017,"Auto-put A1","Beška","Srbija"
33,"NS Brestovac",43.1498819,21.8926074,"Auto-put A1",,"Srbija"
41,"NS Bujanovac jug",42.4531394,21.7776145,"Auto-put A1",,"Srbija"
40,"NS Bujanovac sever",42.466845,21.8086596,"Auto-put A1",,"Srbija"
49,"NS Čačak (Pakovraće)",43.9031025,20.2616419,"Auto-put A2","Čačak","Srbija"
64,"NS Ćićevac",43.7227547,21.4208331,"Auto-put A5",,"Srbija"
25,"NS Ćuprija",43.9379759,21.3900548,"Auto-put A1","Ćuprija","Srbija"
63,"NS Dimitrovgrad",43.0219083,22.7364149,"Auto-put A4",,"Srbija"
32,"NS Doljevac Selo",43.1932409,21.8502504,"Auto-put A1",,"Srbija"
4,"NS Feketić",45.6402133,19.7145919,"Auto-put A1","Feketić","Srbija"
36,"NS Grdelica",42.8862461,22.0684915,"Auto-put A1",,"Srbija"
69,"NS Hrtkovci",44.8595055,19.7747472,"Auto-put A8",,"Srbija"
11,"NS Inđija",45.069987,20.147843,"Auto-put A1","Inđija","Srbija"
24,"NS Jagodina",43.9989469,21.2662846,"Auto-put A1","Jagodina","Srbija"
17,"NS Kolari",44.5770234,20.8876602,"Auto-put A1","Kolari","Srbija"
67,"NS Koševi",43.5878969,21.25298,"Auto-put A5",,"Srbija"
